ID,Word,Definition
1,abandon,forsake; leave behind
2,abide,dwell
3,abolish,do away with
4,abroad,to or in a foreign country
5,absorb,take in a liquid
6,absurd,inconsistent with reason or logic or common sense
7,abundant,present in great quantity
8,abuse,cruel or inhumane treatment
9,accurate,characterized by perfect conformity to fact or truth 
10,acknowledge,declare to be true or admit the existence or reality of
11,addict,to cause to become dependent
12,adequate,having the requisite qualities or resources to meet a task
13,adolescent,a juvenile between the onset of puberty and maturity
14,alter,cause to change; make different
15,amateur,someone who pursues a study or sport as a pastime
16,ambush,concealing yourself and lying in wait to attack by surprise
17,annual,occurring every year
18,anticipate,regard something as probable or likely
19,appeal,earnest or urgent request
20,appoint,"assign a duty, responsibility, or obligation to"
21,approach,move towards
22,appropriate,"suitable for a particular person, place, or situation"
23,architect,someone who creates plans to be used in making something
24,assemble,create by putting components or members together
25,attract,exert a force on
26,audible,heard or perceptible by the ear
27,authority,the power or right to give orders or make decisions
28,avoid,stay away from
29,aware, having or showing knowledge or understanding or realization
30,awesome,inspiring admiration or wonder
31,awkward,lacking grace or skill in manner or movement or performance
32,bachelor,a man who has never been married
33,baffle,be a mystery or bewildering to
34,baggage,cases used to carry belongings when traveling
35,bait,something used to lure fish or other animals
36,ban,prohibit especially by law or social pressure
37,beckon,"summon with a wave, nod, or some other gesture"
38,beneficiary,the recipient of funds or other advantages
39,betray,deliver to an enemy by treachery
40,bewildered,perplexed by many conflicting situations or statements
41,bigamy,the offense of marrying someone while you have a spouse
42,biography,an account of the series of events making up a person's life
43,blunder,an embarrassing mistake
44,brawl,"quarrel or fight noisily, angrily or disruptively"
45,brutal,resembling a beast; showing lack of human sensibility
46,budget,a summary of intended expenditures
47,bulky,of large size for its weight
48,burden,weight to be carried or borne
49,calamity,an event resulting in great loss and misfortune
50,calculate,make a mathematical computation
51,campus,a field on which the buildings of a university are situated
52,cancel,declare null and void
53,candidate,someone who is considered for something
54,capacity,capability to perform or produce
55,capsule,a small container
56,captive,a person who is confined; especially a prisoner of war
57,casual,without or seeming to be without plan or method; offhand
58,caution,judiciousness in avoiding harm or danger
59,cease,put an end to a state or an activity
60,censor,a person authorized to suppress unacceptable material
61,century,a period of 100 years
62,challenge,a call to engage in a contest or fight
63,charity,an institution set up to provide help to the needy
64,chiropractor,a therapist who practices chiropractic
65,cinema,a medium that disseminates moving pictures
66,circulate,move through a system and return to the starting point
67,clergy,the entire class of religious officials
68,client,someone who pays for goods or services
69,coeducational,attended by members of both sexes
70,coincide,happen simultaneously
71,collapse,"break down, literally or metaphorically"
72,colleague,an associate that one works with
73,collide,crash together with violent impact
74,commence,"set in motion, cause to start"
75,commend,"present as worthy of regard, kindness, or confidence"
76,commuter,someone who travels regularly to and from work
77,compel,force somebody to do something
78,compete,engage in a contest or measure oneself against others
79,complacent,contented to a fault with oneself or one's actions
80,comprehend,get the meaning of something
81,comprehensive,including all or everything
82,conceal,prevent from being seen or discovered
83,conclude,bring to a close
84,confident,having or marked by assurance
85,confine,place limits on
86,confirm,strengthen
87,conflict,an open clash between two opposing groups
88,consider,think about carefully; weigh
89,contagious,capable of being transmitted by infection
90,corpse,the dead body of a human being
91,crafty,marked by skill in deception
92,culprit,someone or something responsible for harm or wrongdoing
93,customary,commonly used or practiced
94,data,a collection of facts from which conclusions may be drawn
95,daze,confusion characterized by lack of clarity
96,debate,a discussion with reasons for and against some proposal
97,debtor,a person who owes a creditor
98,decade,a period of 10 years
99,deceive,cause someone to believe an untruth
100,decrease,a change downward
101,defect,a failing or deficiency
102,defiant,boldly resisting authority or an opposing force
103,defraud,deprive of by deceit
104,dejected,affected or marked by low spirits
105,deliberate,carefully thought out in advance
106,delinquent,a young offender
107,denounce,speak out against
108,dense,having high compaction or concentration
109,depart,go away or leave
110,depict,give a description of
111,deprive,take away
112,descend,"move downward and lower, but not necessarily all the way"
113,despite,contemptuous disregard
114,detect,"discover or determine the existence, presence, or fact of"
115,detest,dislike intensely
116,detour,a roundabout road or route
117,devise,arrange by systematic planning and united effort
118,devour,eat immoderately
119,dilemma,state of uncertainty in a choice between unfavorable options
120,diminish,"decrease in size, extent, or range"
121,disaster,an event resulting in great loss and misfortune
122,discard,anything that is cast aside
123,disclose,expose to view as by removing a cover
124,dismal,causing dejection
125,dispute,the act of coming into conflict
126,disrupt,make a break in
127,distress,a state of adversity
128,document,a representation of a person's thinking with symbolic marks
129,doubt,the state of being unsure of something
130,dread,fearful expectation or anticipation
131,drench,cover with liquid; pour liquid onto
132,drought,a shortage of rainfall
133,duplicate,a copy that corresponds to an original exactly
134,dwindle,become smaller or lose substance
135,economical,using the minimum of time or resources for effectiveness
136,editor,the person who determines the final content of a text 
137,elevate,raise from a lower to a higher position
138,eliminate,"end, take out, or do away with"
139,embrace,"squeeze tightly in your arms, usually with fondness"
140,emerge,"come out into view, as from concealment"
141,encourage,inspire with confidence
142,endure,undergo or be subjected to
143,enormous,extraordinarily large in size or extent or degree
144,envy,a desire to have something that is possessed by another
145,epidemic,a widespread outbreak of an infectious disease
146,essential,basic and fundamental
147,estimate,judge tentatively
148,evade,"avoid or try to avoid fulfilling, answering, or performing"
149,event,something that happens at a given place and time
150,evidence,knowledge on which to base belief
151,exaggerate,enlarge beyond bounds or the truth
152,excel,distinguish oneself
153,excessive,beyond normal limits
154,exempt, freed from or not subject to an obligation or liability
155,exhaust,wear out completely
156,exhibit,show; make visible or apparent
157,expand,extend in one or more directions
158,expensive,high in price or charging high prices
159,explore,travel to or penetrate into
160,expose,show; make visible or apparent
161,extract,"remove, usually with some force or effort"
162,famine,a severe shortage of food resulting in starvation and death
163,feeble,pathetically lacking in force or effectiveness
